trial,rmse,max_abs_err
0,0.006270424728128073,0.014417038459045184
1,0.015523648038890073,0.040978208459045096
2,0.020063435154090047,0.05352335845904488
3,0.012367016057893348,0.032163838459045024
4,0.009371369360013352,0.023641398459044893
5,0.010575377356280651,0.027102238459045136
6,0.007666286317641825,0.019855081540955055
7,0.006982601286155626,0.0166153884590452
8,0.00502587558630103,0.010386698459045274
9,0.010261529656119553,0.027405921540955003
10,0.004423560262987927,0.008240388459045178
11,0.0174569940316261,0.046330018459045164
12,0.0036450135907274413,0.004978448459044937
13,0.018127452526064857,0.048185448459045155
14,0.003993134585478314,0.00657211845904504
15,0.0049668919605315226,0.010206148459045217
16,0.01986742445374444,0.052984298459044954
17,0.0030167087919041914,0.003685546681717833
18,0.009635999248255847,0.024405008459045252
19,0.009759729229191697,0.024761848459045055
20,0.004725763918013074,0.010493551540954993
21,0.010437042003375783,0.026710378459045003
22,0.004098533596382571,0.007047838459044886
23,0.020785633250452094,0.05551199845904531
24,0.00405010523842405,0.006813098459045097
25,0.005321635330987999,0.012590791540954882
26,0.014134641754496136,0.03711691845904497
27,0.023881215735255513,0.06400886845904497
28,0.0045355932563788375,0.00983723154095495
29,0.020819636462640723,0.055597688459045
30,0.007972940249319474,0.020758441540954742
31,0.02254084203563273,0.06177650154095504
32,0.0059796893882158916,0.013544448459045011
33,0.0042249091303723785,0.008624431540954713
34,0.011253898168587349,0.029032318459045303
35,0.012539606317968568,0.032647388459045246
36,0.012785776114903334,0.03334029845904496
37,0.006678435384130503,0.015688448459044935
38,0.0032643040699872586,0.0040658015409547055
39,0.012688991539923146,0.03431981154095487
40,0.005298752676445133,0.011360158459045255
41,0.04478377459271561,0.12095926845904525
42,0.003967928865550501,0.0076052315409547155
43,0.00810852484014228,0.019978438459045122
44,0.006184486573618102,0.014160138459045069
45,0.01416820322972963,0.03846216154095483
46,0.016326340915564574,0.04319618845904527
47,0.0031820358883517174,0.003556059999999861
48,0.00452907857884275,0.008645508459045104
49,0.013949653797875569,0.03659379845904498
