vx,vy,v_out,ideal,err
0.95,0.2,4.19386219,4.1951475717499465,-0.0012853817499465237
1.0,0.2,4.32489056,4.327719740893145,-0.0028291808931451
-1.0,0.3,1.58345317,1.5718522454973785,0.011600924502621623
-0.95,0.3,1.60225412,1.5907138277804374,0.011540292219562653
-0.9,0.3,1.62201671,1.6105424640665351,0.01147424593346491
-0.85,0.3,1.64279009,1.6313877362746627,0.011402353725337377
-0.8,0.3,1.66462586,1.6533017684431577,0.01132409155684222
-0.75,0.3,1.68757831,1.6763393570669507,0.011238952933049218
-0.7,0.3,1.71170444,1.7005581081173458,0.011146331882654348
-0.65,0.3,1.7370642,1.7260185810869522,0.011045618913047894
-0.6,0.3,1.76372056,1.7527844404199624,0.010936119580037706
-0.55,0.3,1.79173972,1.7809226147064228,0.010817105293577267
-0.5,0.3,1.82119121,1.8105034640385695,0.010687745961430517
-0.45,0.3,1.85214815,1.8416009559477096,0.010547194052290543
-0.4,0.3,1.88468734,1.8742928503615754,0.010394489638424487
-0.35,0.3,1.91888951,1.9086608940446497,0.010228615955350406
-0.3,0.3,1.95483946,1.944791025007654,0.010048434992345978
-0.25,0.3,1.99262635,1.9827735873973409,0.009852762602659215
-0.2,0.3,2.03234381,2.022703557403918,0.009640252596081922
-0.15,0.3,2.07409028,2.0646807807509937,0.009409499249006359
-0.1,0.3,2.11796915,2.1088102223618956,0.00915892763810433
-0.05,0.3,2.16408909,2.15520222882665,0.008886861173349914
2.91433544e-16,0.3,2.21256427,2.2039728043259363,0.00859146567406377
0.05,0.3,2.26351464,2.2552439007019602,0.008270739298039675
0.1,0.3,2.31706623,2.3091437224015836,0.007922507598416395
0.15,0.3,2.37335147,2.3658070470542194,0.0075444229457803935
0.2,0.3,2.43250949,2.425375562486106,0.007133927513894189
0.25,0.3,2.49468643,2.4879982210136777,0.006688208986322053
0.3,0.3,2.56003585,2.5538316119019395,0.006204238098060255
0.35,0.3,2.62871907,2.623040352919193,0.0056787170808068055
0.4,0.3,2.70090555,2.6957975019672062,0.005108048032793633
0.45,0.3,2.77677331,2.7722849898161046,0.0044883201838952225
0.5,0.3,2.85650934,2.852694075026064,0.003815264973936028
0.55,0.3,2.94031007,2.9372258221933314,0.0030842478066688273
0.6,0.3,3.02838183,3.026091604716445,0.0022902252835548254
0.65,0.3,3.12094131,3.1195136333398326,0.0014276766601675206
0.7,0.3,3.21821613,3.217725511796413,0.0004906182035870899
0.75,0.3,3.32044534,3.3209728209386107,-0.0005274809386106583
0.8,0.3,3.42787999,3.429513732818404,-0.0016337428184041158
0.85,0.3,3.54078373,3.543619656251927,-0.002835926251927301
0.9,0.3,3.65943343,3.6635759154828857,-0.0041424854828857605
0.95,0.3,3.78411982,3.789682463641782,-0.005562643641781939
1.0,0.3,3.91514819,3.9222546327849814,-0.007106442784981404
-1.0,0.4,1.29279925,1.2841701730455974,0.008629076954402626
