vx,vy,v_out,ideal,err
1.0,0.3,3.88765875,3.9222546327849814,-0.03459588278498149
-1.0,0.4,1.29878929,1.2841701730455974,0.014619116954402545
-0.95,0.4,1.3178274,1.3030317553286563,0.014795644671343755
-0.9,0.4,1.3378309,1.322860391614754,0.014970508385245829
-0.85,0.4,1.35884815,1.3437056638228817,0.01514248617711833
-0.8,0.4,1.3809299,1.3656196959913767,0.015310204008623263
-0.75,0.4,1.40412936,1.3886572846151697,0.015472075384830308
-0.7,0.4,1.42850233,1.4128760356655645,0.01562629433443541
-0.65,0.4,1.45410732,1.438336508635171,0.015770811364829163
-0.6,0.4,1.48100566,1.4651023679681814,0.015903292031818506
-0.55,0.4,1.50926164,1.4932405422546418,0.016021097745358315
-0.5,0.4,1.53894263,1.5228213915867883,0.01612123841321167
-0.45,0.4,1.57011924,1.5539188834959283,0.01620035650407159
-0.4,0.4,1.60286544,1.5866107779097942,0.016254662090205763
-0.35,0.4,1.6372587,1.6209788215928684,0.01627987840713163
-0.3,0.4,1.67338018,1.6571089525558729,0.016271227444127234
-0.25,0.4,1.71131485,1.6950915149455599,0.01622333505444007
-0.2,0.4,1.75115166,1.7350214849521368,0.016130175047863293
-0.15,0.4,1.79298371,1.776998708299213,0.015985001700786983
-0.1,0.4,1.83690843,1.8211281499101144,0.015780280089885634
-0.05,0.4,1.88302776,1.867520156374869,0.01550760362513115
2.91433544e-16,0.4,1.93144828,1.916290731874155,0.0151575481258448
0.05,0.4,1.98228148,1.967561828250179,0.014719651749820928
0.1,0.4,2.03564388,2.021461649949803,0.014182230050197031
0.15,0.4,2.09165725,2.078124974602438,0.013532275397561744
0.2,0.4,2.1504488,2.1376934900343247,0.012755309965675199
0.25,0.4,2.21215139,2.2003161485618965,0.011835241438103328
0.3,0.4,2.27690374,2.2661495394501583,0.010754200549841553
0.35,0.4,2.34485059,2.3353582804674122,0.00949230953258784
0.4,0.4,2.41614297,2.4081154295154255,0.008027540484574658
0.45,0.4,2.49093834,2.484602917364324,0.006335422635676213
0.5,0.4,2.56940088,2.5650120025742833,0.004388877425716586
0.55,0.4,2.65170159,2.64954374974155,0.0021578402584498946
0.6,0.4,2.7380186,2.7384095322646638,-0.00039093226466357933
0.65,0.4,2.8285373,2.8318315608880513,-0.0032942608880515145
0.7,0.4,2.92345055,2.9300434393446317,-0.006592889344631647
0.75,0.4,3.0229589,3.03329074848683,-0.010331848486829998
0.8,0.4,3.12727073,3.141831660366623,-0.01456093036662276
0.85,0.4,3.23660246,3.255937583800146,-0.019335123800146015
0.9,0.4,3.35117869,3.375893843031105,-0.024715153031105164
0.95,0.4,3.47123235,3.502000391190001,-0.030768041190000872
1.0,0.4,3.59700483,3.6345725603332,-0.03756773033320027
-1.0,0.5,1.07337285,1.0610266217313877,0.012346228268612203
-0.95,0.5,1.09241097,1.0798882040144466,0.012522765985553352
-0.9,0.5,1.11241446,1.0997168403005444,0.012697619699455709
-0.85,0.5,1.13343172,1.120562112508672,0.012869607491327928
-0.8,0.5,1.15551347,1.142476144677167,0.013037325322833082
-0.75,0.5,1.17871293,1.16551373330096,0.013199196699040128
-0.7,0.5,1.2030859,1.1897324843513548,0.013353415648645228
-0.65,0.5,1.22869089,1.2151929573209612,0.01349793267903876
-0.6,0.5,1.25558923,1.2419588166539717,0.013630413346028325
-0.55,0.5,1.28384521,1.270096990940432,0.013748219059567912
-0.5,0.5,1.3135262,1.2996778402725786,0.013848359727421489
-0.45,0.5,1.34470281,1.3307753321817186,0.013927477818281409
-0.4,0.5,1.37744901,1.3634672265955845,0.013981783404415582
-0.35,0.5,1.41184227,1.3978352702786587,0.014006999721341229
-0.3,0.5,1.44796375,1.4339654012416632,0.013998348758336832
-0.25,0.5,1.48589842,1.4719479636313502,0.013950456368649888
-0.2,0.5,1.52573523,1.511877933637927,0.01385729636207289
-0.15,0.5,1.56756728,1.5538551569850032,0.013712123014996802
-0.1,0.5,1.611492,1.5979845985959047,0.013507401404095232
-0.05,0.5,1.65761132,1.6443766050606592,0.013234714939340808
2.91433544e-16,0.5,1.70603185,1.6931471805599454,0.012884669440054619
0.05,0.5,1.75686505,1.7444182769359693,0.012446773064030747
0.1,0.5,1.81022745,1.798318098635593,0.01190935136440685
0.15,0.5,1.86624082,1.8549814232882285,0.011259396711771563
0.2,0.5,1.92503237,1.914549938720115,0.010482431279885018
0.25,0.5,1.98673496,1.9771725972476868,0.009562362752313147
0.3,0.5,2.05148731,2.0430059881359486,0.008481321864051594
0.35,0.5,2.11943416,2.1122147291532025,0.007219430846797437
0.4,0.5,2.19072653,2.1849718782012157,0.005754651798784316
0.45,0.5,2.26552191,2.261459366050114,0.004062543949885811
0.5,0.5,2.34398444,2.3418684512600736,0.0021159887399262445
0.55,0.5,2.42628516,2.4264001984273404,-0.00011503842734050806
0.6,0.5,2.51260217,2.515265980950454,-0.002663810950453982
0.65,0.5,2.60312086,2.6086880095738416,-0.005567149573841412
0.7,0.5,2.69803412,2.706899888030422,-0.00886576803042205
0.75,0.5,2.79754246,2.81014719717262,-0.01260473717262034
0.8,0.5,2.9018543,2.9186881090524133,-0.016833809052413162
0.85,0.5,3.01118603,3.032794032485936,-0.021608002485935973
0.9,0.5,3.12576226,3.1527502917168952,-0.026988031716895122
0.95,0.5,3.24581591,3.2788568398757914,-0.033040929875791214
1.0,0.5,3.3715884,3.4114290090189905,-0.03984060901899067
-1.0,0.6,0.889213208,0.8787050649374331,0.010508143062566977
-0.95,0.6,0.908251322,0.897566647220492,0.010684674779508074
-0.9,0.6,0.928254818,0.9173952835065898,0.01085953449341015
-0.85,0.6,0.949272071,0.9382405557147173,0.011031515285282678
-0.8,0.6,0.971353823,0.9601545878832123,0.011199235116787665
-0.75,0.6,0.994553285,0.9831921765070054,0.011361108492994543
-0.7,0.6,1.01892626,1.0074109275574004,0.011515332442599613
-0.65,0.6,1.04453125,1.0328714005270068,0.011659849472993145
-0.6,0.6,1.07142958,1.059637259860017,0.011792320139982992
-0.55,0.6,1.09968556,1.0877754341464774,0.01191012585352258
-0.5,0.6,1.12936655,1.1173562834786241,0.012010266521375934
-0.45,0.6,1.16054316,1.1484537753877642,0.012089384612235854
-0.4,0.6,1.19328936,1.18114566980163,0.012143690198370027
-0.35,0.6,1.22768263,1.2155137134847043,0.012168916515295836
-0.3,0.6,1.26380411,1.2516438444477087,0.012160265552291216
-0.25,0.6,1.30173877,1.2896264068373955,0.012112363162604556
-0.2,0.6,1.34157558,1.3295563768439727,0.012019203156027336
-0.15,0.6,1.38340763,1.3715336001910485,0.01187402980895147
-0.1,0.6,1.42733236,1.4156630418019502,0.011669318198049838
-0.05,0.6,1.47345168,1.4620550482667047,0.011396631733295193
2.91433544e-16,0.6,1.5218722,1.510825623765991,0.011046576234009065
0.05,0.6,1.5727054,1.5620967201420148,0.010608679857985193
0.1,0.6,1.6260678,1.6159965418416384,0.010071258158361518
0.15,0.6,1.68208117,1.6726598664942738,0.00942130350572623
0.2,0.6,1.74087272,1.7322283819261606,0.008644338073839464
0.25,0.6,1.80257532,1.7948510404537321,0.007724279546267976
0.3,0.6,1.86732766,1.860684431341994,0.00664322865800604
0.35,0.6,1.93527451,1.9298931723592478,0.005381337640752104
0.4,0.6,2.00656689,2.002650321407261,0.003916568592739367
0.45,0.6,2.08136227,2.079137809256159,0.0022244607438408615
0.5,0.6,2.1598248,2.1595468944661187,0.00027790553388129524
0.55,0.6,2.24212551,2.244078641633386,-0.0019531316333858406
0.6,0.6,2.32844252,2.3329444241564996,-0.004501904156499759
0.65,0.6,2.41896122,2.426366452779887,-0.00740523277988725
0.7,0.6,2.51387447,2.5245783312364676,-0.010703861236467382
0.75,0.6,2.61338282,2.6278256403786653,-0.014442820378665289
0.8,0.6,2.71769465,2.736366552258459,-0.01867190225845894
0.85,0.6,2.82702638,2.8504724756919817,-0.02344609569198175
0.9,0.6,2.94160261,2.9704287349229404,-0.028826124922940455
0.95,0.6,3.06165627,3.0965352830818365,-0.03487901308183661
1.0,0.6,3.18742876,3.229107452225036,-0.04167869222503606
-1.0,0.7,0.733520598,0.7245543851101748,0.008966212889825242
