va,vb,vc,v_int,v_out,ideal_int,ideal_out,err,int_err
-1.0,0.8999999999999999,0.5,0.471366407,2.29429187,0.4732399568292687,2.298333692793019,-0.004041822793019012,-0.0018735498292687391
-0.8,0.8999999999999999,0.5,0.552135229,2.42786038,0.554689479775048,2.434547341400306,-0.006686961400306224,-0.002554250775048006
-0.6,0.8999999999999999,0.5,0.650736891,2.60597362,0.6541721517518528,2.616696631575444,-0.010723011575444197,-0.0034352607518528533
-0.4,0.8999999999999999,0.5,0.771101807,2.84857118,0.7756805616934658,2.8652170323816426,-0.016645852381642623,-0.004578754693465803
-1.0,1.3,0.5,0.101880871,1.80306285,0.10551517670395127,1.8044301505674576,-0.0013673005674574856,-0.0036343057039512766
-0.8,1.3,0.5,0.182649699,1.89554071,0.1869646996497305,1.8987319072955793,-0.0031911972955793733,-0.004315000649730505
-0.6,1.3,0.5,0.281251369,2.01887398,0.28644737162653533,2.024835262032213,-0.005961282032213244,-0.0051960026265353565
-0.4,1.3,0.5,0.401616296,2.18688538,0.40795578156814827,2.1968878472057356,-0.010002467205735499,-0.006339485568148284
-0.2,1.3,0.5,0.548538114,2.42114008,0.5563664886104908,2.437470134946382,-0.016330054946382067,-0.007828374610490796
-1.66533454e-16,1.3,0.5,0.727861895,2.75744087,0.7376357355325087,2.784133202451518,-0.02669233245151803,-0.009773840532508737
-1.0,1.7,0.5,-0.16764717,1.54304772,-0.16274880989072804,1.5429518046833373,9.591531666264252e-05,-0.004898360109271971
-0.8,1.7,0.5,-0.0868783385,1.61375337,-0.08129928694494881,1.6150649127695478,-0.0013115427695478132,-0.005579051555051187
-0.6,1.7,0.5,0.0117233359,1.70805615,0.018183385031856014,1.7114968899210914,-0.003440739921091396,-0.006460049131856015
-0.4,1.7,0.5,0.132088268,1.83653178,0.13969179497346895,1.8430665138773143,-0.0065347338773142916,-0.007603526973468944
-0.2,1.7,0.5,0.279010094,2.01568362,0.28810250201581145,2.0270412045025146,-0.011357584502514673,-0.00909240801581146
-1.66533454e-16,1.7,0.5,0.458333886,2.27291947,0.4693717489378294,2.2921364914182067,-0.01921702141820658,-0.011037862937829379
0.2,1.7,0.5,0.677184785,2.65568878,0.6907745070979995,2.688407458765666,-0.03271867876566592,-0.013589722097999468
-1.0,2.0999999999999996,0.5,-0.379945541,1.38213071,-0.3740579035579348,1.3810842572312625,0.0010464527687374936,-0.005887637442065219
-0.8,2.0999999999999996,0.5,-0.299176707,1.439354,-0.29260838061215555,1.4394615352058142,-0.00010753520581419096,-0.0065683263878444365
-0.6,2.0999999999999996,0.5,-0.20057503,1.515678,-0.19312570863535072,1.5175255167094448,-0.0018475167094447187,-0.007449321364649264
-0.4,2.0999999999999996,0.5,-0.080210094,1.61966562,-0.07161729869373779,1.6240342599121012,-0.004368639912101235,-0.00859279530626221
-0.2,2.0999999999999996,0.5,0.0667117372,1.76468122,0.07679340834860471,1.7729661523229776,-0.008284932322977667,-0.010081671148604712
-1.66533454e-16,2.0999999999999996,0.5,0.246035537,1.97292412,0.25806265527062267,1.9875670988737761,-0.01464297887377608,-0.012027118270622666
0.2,2.0999999999999996,0.5,0.464886446,2.28283755,0.47946541343079274,2.3083578819645765,-0.02552033196457648,-0.014578967430792733
0.4,2.0999999999999996,0.5,0.731947129,2.76687734,0.7498873529118932,2.809908736716417,-0.04303139671641665,-0.017940223911893205
-1.0,2.5,0.5,-0.555114452,1.27273875,-0.5484112907027128,1.2710143249638517,0.001724425036148336,-0.006703161297287208
-0.8,2.5,0.5,-0.474345617,1.32079305,-0.46696176775693354,1.320051238462475,0.0007418115375250611,-0.007383849243066454
-0.6,2.5,0.5,-0.375743938,1.38488936,-0.3674790957801287,1.3856249829255247,-0.0007356229255246483,-0.008264842219871282
-0.4,2.5,0.5,-0.255378999,1.47222078,-0.24597068583851578,1.4750923272157561,-0.0028715472157561095,-0.009408313161484216
-0.2,2.5,0.5,-0.108457164,1.59401494,-0.09755997879617329,1.6001951168408923,-0.006180176840892226,-0.01089718520382671
-1.66533454e-16,2.5,0.5,0.07086664,1.76892449,0.08370926812584467,1.780459911943563,-0.011535421943562829,-0.012842628125844677
0.2,2.5,0.5,0.289717557,2.02925726,0.30511202628601475,2.0499241697398354,-0.020666909739835315,-0.015394469286014734
0.4,2.5,0.5,0.556778251,2.43592422,0.5755339657671152,2.471226887731381,-0.03530266773138102,-0.01875571476711524
-1.0,0.8999999999999999,1.0,0.471366407,1.59423405,0.4732399568292687,1.6051865122330737,-0.010952462233073668,-0.0018735498292687391
-0.8,0.8999999999999999,1.0,0.552135229,1.72780255,0.554689479775048,1.7414001608403606,-0.013597610840360597,-0.002554250775048006
-0.6,0.8999999999999999,1.0,0.650736891,1.9059158,0.6541721517518528,1.9235494510154987,-0.01763365101549863,-0.0034352607518528533
-0.4,0.8999999999999999,1.0,0.771101807,2.14851336,0.7756805616934658,2.172069851821697,-0.02355649182169728,-0.004578754693465803
-1.0,1.3,1.0,0.101880871,1.10300503,0.10551517670395127,1.1112829700075124,-0.008277940007512363,-0.0036343057039512766
-0.8,1.3,1.0,0.182649699,1.19548289,0.1869646996497305,1.205584726735634,-0.010101836735634029,-0.004315000649730505
-0.6,1.3,1.0,0.281251369,1.31881616,0.28644737162653533,1.331688081472268,-0.012871921472268122,-0.0051960026265353565
-0.4,1.3,1.0,0.401616296,1.48682756,0.40795578156814827,1.5037406666457902,-0.016913106645790155,-0.006339485568148284
-0.2,1.3,1.0,0.548538114,1.72108225,0.5563664886104908,1.7443229543864365,-0.02324070438643644,-0.007828374610490796
-1.66533454e-16,1.3,1.0,0.727861895,2.05738305,0.7376357355325087,2.0909860218915726,-0.033602971891572686,-0.009773840532508737
-1.0,1.7,1.0,-0.16764717,0.842989902,-0.16274880989072804,0.8498046241233919,-0.006814722123391848,-0.004898360109271971
-0.8,1.7,1.0,-0.0868783385,0.913695547,-0.08129928694494881,0.9219177322096026,-0.008222185209602606,-0.005579051555051187
-0.6,1.7,1.0,0.0117233359,1.00799832,0.018183385031856014,1.0183497093611462,-0.010351389361146213,-0.006460049131856015
-0.4,1.7,1.0,0.132088268,1.13647396,0.13969179497346895,1.149919333317369,-0.013445373317368947,-0.007603526973468944
-0.2,1.7,1.0,0.279010094,1.3156258,0.28810250201581145,1.3338940239425692,-0.018268223942569106,-0.00909240801581146
-1.66533454e-16,1.7,1.0,0.458333886,1.57286165,0.4693717489378294,1.5989893108582616,-0.02612766085826168,-0.011037862937829379
0.2,1.7,1.0,0.677184785,1.95563096,0.6907745070979995,1.9952602782057207,-0.0396293182057208,-0.013589722097999468
-1.0,2.0999999999999996,1.0,-0.379945541,0.682072887,-0.3740579035579348,0.6879370766713173,-0.005864189671317299,-0.005887637442065219
-0.8,2.0999999999999996,1.0,-0.299176707,0.739296178,-0.29260838061215555,0.7463143546458689,-0.007018176645868901,-0.0065683263878444365
