freq,mag_db
1.0,-0.05362100150005751
1.12201845,-0.05362100147074575
1.25892541,-0.05362100143384722
1.41253754,-0.053621001387393175
1.58489319,-0.053621001328911316
1.77827941,-0.05362100125528891
1.99526231,-0.0536210011626011
2.23872114,-0.05362100104591391
2.51188643,-0.05362100089901355
2.81838293,-0.05362100071407941
3.16227766,-0.05362100048125713
3.54813389,-0.053621000188156
3.98107171,-0.05362099981916002
4.46683592,-0.053620999354622584
5.01187234,-0.05362099876980591
5.62341325,-0.05362099803356339
6.30957344,-0.05362099710669012
7.07945784,-0.053621004679501275
7.94328235,-0.05362100321050448
8.91250938,-0.0536210013611495
10.0,-0.05362099903294711
11.2201845,-0.05362100484159361
12.5892541,-0.05362100115164254
14.1253754,-0.053621005245947276
15.8489319,-0.05362100813744609
17.7827941,-0.053621009514702084
19.9526231,-0.053621008985643634
22.3872114,-0.053621014796348135
25.1188643,-0.05362101758574529
28.1838293,-0.053621016571536374
31.6227766,-0.05362102824822623
35.4813389,-0.05362103389661719
39.8107171,-0.05362104069549265
44.6683592,-0.05362104667983121
50.1187234,-0.0536210581154707
56.2341325,-0.0536210806277255
63.0957344,-0.05362109281648396
70.7945784,-0.05362112470450929
79.4328235,-0.05362115259848122
89.1250938,-0.053621194894485275
100.0,-0.05362124174402915
112.201845,-0.05362130696763233
125.892541,-0.05362138369617077
141.253754,-0.053621487238033685
158.489319,-0.05362161033429527
177.827941,-0.0536217655397194
199.526231,-0.053621966084835895
223.872114,-0.05362221504852546
251.188643,-0.05362253768772738
281.838293,-0.05362293443058663
316.227766,-0.053623429148083365
354.813389,-0.0536240639094701
398.107171,-0.053624857421547156
446.683592,-0.053625857893250486
501.187234,-0.053627106354250276
562.341325,-0.05362869339701145
630.957344,-0.05363068141653955
707.945784,-0.053633188607306516
794.328235,-0.05363634520180626
891.250938,-0.053640321559045405
1000.0,-0.05364532147139972
1122.01845,-0.05365162586152771
1258.92541,-0.053659552993143185
1412.53754,-0.053669532683858774
1584.89319,-0.05368209783824217
1778.27941,-0.053697918821564584
1995.26231,-0.053717838717469865
2238.72114,-0.053742909408565215
2511.88643,-0.05377446978790118
2818.38293,-0.05381420853701906
3162.27766,-0.05386422885461769
3548.13389,-0.05392718908010991
3981.07171,-0.05400645690818441
4466.83592,-0.05410624183748817
5011.87234,-0.05423185491968388
5623.41325,-0.0543899705985028
6309.57344,-0.05458898809646965
7079.45784,-0.05483949345633282
7943.28235,-0.05515477540210828
8912.50938,-0.055551575300498646
10000.0,-0.056050920159877934
11220.1845,-0.05667925042107016
12589.2541,-0.05746977502714134
14125.3754,-0.05846420766682847
15848.9319,-0.05971490394428629
17782.7941,-0.06128748208583002
19952.6231,-0.06326414787017612
22387.2114,-0.06574776119997087
25118.8643,-0.06886673238069267
28183.8293,-0.07278110232584722
31622.7766,-0.07768979417827938
35481.3389,-0.08383917074506107
39810.7171,-0.09153308049216316
44668.3592,-0.10114417557421876
50118.7234,-0.11312623506288416
56234.1325,-0.1280268491078011
63095.7344,-0.14649890762137457
70794.5784,-0.1693088076535482
79432.8235,-0.19733759772623533
89125.0938,-0.23156977933012854
100000.0,-0.2730624705680141
112201.845,-0.3228861052972693
125892.541,-0.3820279391109548
141253.754,-0.45125448368311005
158489.319,-0.5309446754268231
177827.941,-0.6209436397749831
199526.231,-0.7205728561527925
223872.114,-0.8291148335445931
251188.643,-0.9474737851099828
281838.293,-1.0824862731086158
316227.766,-1.256720159127509
354813.389,-1.5279411676297394
398107.171,-2.0185516774655423
446683.592,-2.930103700355402
501187.234,-4.4728768992998456
562341.325,-6.701519447071254
630957.344,-9.456853687904427
707945.784,-12.507352801149471
794328.235,-15.680928223816718
891250.938,-18.884814529956877
1000000.0,-22.077942360369637
1122018.45,-25.245479945879534
1258925.41,-28.384332855424034
1412537.54,-31.49610791125639
1584893.19,-34.58393240729889
1778279.41,-37.65108496451232
1995262.31,-40.70044428382957
2238721.14,-43.73429599693072
2511886.43,-46.754289202032666
2818382.93,-49.76144752478673
3162277.66,-52.756193361028124
3548133.89,-55.7383675968261
3981071.71,-58.707238874499446
4466835.92,-61.6615029175579
5011872.34,-64.599274935087
5623413.25,-67.51808397865813
6309573.44,-70.41487818585315
7079457.84,-73.28605534018652
7943282.35,-76.1275342298053
8912509.38,-78.9348833238503
10000000.0,-81.70351966413669
11220184.5,-84.42898223203042
12589254.1,-87.10727032331047
14125375.4,-89.73521821439013
15848931.9,-92.31086084837958
17782794.1,-94.83373553208003
19952623.1,-97.30506935404769
22387211.4,-99.72782218574496
25118864.3,-102.1065858795524
28183829.3,-104.44736855243181
31622776.6,-106.75731254817353
35481338.9,-109.04439593165777
39810717.1,-111.31715505850636
44668359.2,-113.58444530262149
50118723.4,-115.85523589189619
56234132.5,-118.13842020979439
63095734.4,-120.4426155009955
70794578.4,-122.7759318994937
79432823.5,-125.14570168019293
89125093.8,-127.55818211862363
100000000.0,-130.01826498410816
