va,vb,v_out,ideal,err
-1.0,0.1,2.69393061,2.670464534165488,0.02346607583451199
-0.8,0.1,2.7751033,2.751914057111267,0.02318924288873303
-0.6,0.1,2.874198,2.851396729088072,0.02280127091192785
-0.4,0.1,2.99516478,2.9729051390296846,0.02225964097031552
-0.2,0.1,3.14282125,3.121315846072027,0.021505403927972733
-1.66533454e-16,0.1,3.3230417,3.302585092994045,0.020456607005955085
0.2,0.1,3.54298692,3.5239878511542155,0.018999068845784617
0.4,0.1,3.81138298,3.794409790635316,0.01697318936468406
-1.0,0.5,1.06738282,1.0610266217313877,0.006356198268612223
-0.8,0.5,1.14855551,1.142476144677167,0.006079365322833041
-0.6,0.5,1.24765021,1.2419588166539717,0.005691393346028306
-0.4,0.5,1.36861699,1.3634672265955845,0.0051497634044155305
-0.2,0.5,1.51627346,1.511877933637927,0.004395526362072966
-1.66533454e-16,0.5,1.69649391,1.693147180559945,0.003346729440055096
0.2,0.5,1.91643913,1.914549938720115,0.0018891912798850719
0.4,0.5,2.1848352,2.1849718782012157,-0.00013667820121554541
-1.0,0.8999999999999999,0.473723563,0.4732399568292687,0.00048360617073128775
-0.8,0.8999999999999999,0.554896253,0.554689479775048,0.0002067732249519949
-0.6,0.8999999999999999,0.653990953,0.6541721517518528,-0.00018119875185285128
-0.4,0.8999999999999999,0.774957733,0.7756805616934658,-0.000722828693465738
-0.2,0.8999999999999999,0.9226142,0.9240912687358083,-0.001477068735808218
-1.66533454e-16,0.8999999999999999,1.10283466,1.1053605156578261,-0.002525855657826037
0.2,0.8999999999999999,1.32277987,1.3267632738179962,-0.003983403817996223
0.4,0.8999999999999999,1.59117594,1.5971852132990967,-0.006009273299096618
-1.0,1.3,0.102390514,0.10551517670395127,-0.0031246627039512725
-0.8,1.3,0.183563203,0.1869646996497305,-0.0034014966497304955
-0.6,1.3,0.282657903,0.28644737162653533,-0.0037894686265353417
-0.4,1.3,0.403624683,0.40795578156814827,-0.004331098568148284
-0.2,1.3,0.551281151,0.5563664886104908,-0.005085337610490792
-1.66533454e-16,1.3,0.731501606,0.7376357355325087,-0.006134129532508692
0.2,1.3,0.951446824,0.9590384936926788,-0.007591669692678771
0.4,1.3,1.21984289,1.2294604331737793,-0.009617543173779275
-1.0,1.7,-0.168485215,-0.16274880989072804,-0.005736405109271953
-0.8,1.7,-0.0873125259,-0.08129928694494881,-0.006013238955051181
-0.6,1.7,0.0117821742,0.018183385031856014,-0.006401210831856014
-0.4,1.7,0.132748954,0.13969179497346895,-0.00694284097346895
-0.2,1.7,0.280405421,0.28810250201581145,-0.007697081015811458
-1.66533454e-16,1.7,0.460625877,0.4693717489378294,-0.008745871937829386
0.2,1.7,0.680571095,0.6907745070979995,-0.010203412097999465
0.4,1.7,0.948967159,0.9611964465791,-0.012229287579100023
-1.0,2.0999999999999996,-0.381845109,-0.3740579035579348,-0.007787205442065237
-0.8,2.0999999999999996,-0.300672419,-0.29260838061215555,-0.008064038387844474
-0.6,2.0999999999999996,-0.201577719,-0.19312570863535072,-0.008452010364649265
-0.4,2.0999999999999996,-0.0806109391,-0.07161729869373779,-0.008993640406262216
-0.2,2.0999999999999996,0.0670455279,0.07679340834860471,-0.00974788044860471
-1.66533454e-16,2.0999999999999996,0.247265983,0.25806265527062267,-0.01079667227062267
0.2,2.0999999999999996,0.467211201,0.47946541343079274,-0.012254212430792721
0.4,2.0999999999999996,0.735607266,0.7498873529118932,-0.014280086911893197
-1.0,2.5,-0.557889886,-0.5484112907027128,-0.009478595297287229
-0.8,2.5,-0.476717197,-0.46696176775693354,-0.009755429243066438
-0.6,2.5,-0.377622497,-0.3674790957801287,-0.010143401219871284
-0.4,2.5,-0.256655717,-0.24597068583851578,-0.010685031161484226
-0.2,2.5,-0.10899925,-0.09755997879617329,-0.01143927120382672
-1.66533454e-16,2.5,0.071221206,0.08370926812584467,-0.012488062125844676
0.2,2.5,0.291166424,0.30511202628601475,-0.013945602286014769
0.4,2.5,0.559562489,0.5755339657671152,-0.01597147676711519
